"id"	"name"	"address"	"city"	"phone"	"type"
1	"arnie morton's of chicago"	"435 s. la cienega blv."	"los angeles"	"310/246-1501"	"american"
2	"arnie morton's of chicago"	"435 s. la cienega blvd."	"los angeles"	"310-246-1501"	"steakhouses"
3	"art's delicatessen"	"12224 ventura blvd."	"studio city"	"818/762-1221"	"american"
4	"art's deli"	"12224 ventura blvd."	"studio city"	"818-762-1221"	"delis"
5	"hotel bel-air"	"701 stone canyon rd."	"bel air"	"310/472-1211"	"californian"
6	"bel-air hotel"	"701 stone canyon rd."	"bel air"	"310-472-1211"	"californian"
7	"cafe bizou"	"14016 ventura blvd."	"sherman oaks"	"818/788-3536"	"french"
8	"cafe bizou"	"14016 ventura blvd."	"sherman oaks"	"818-788-3536"	"french bistro"
9	"campanile"	"624 s. la brea ave."	"los angeles"	"213/938-1447"	"american"
10	"campanile"	"624 s. la brea ave."	"los angeles"	"213-938-1447"	"californian"
11	"chinois on main"	"2709 main st."	"santa monica"	"310/392-9025"	"french"
12	"chinois on main"	"2709 main st."	"santa monica"	"310-392-9025"	"pacific new wave"
13	"citrus"	"6703 melrose ave."	"los angeles"	"213/857-0034"	"californian"
14	"citrus"	"6703 melrose ave."	"los angeles"	"213-857-0034"	"californian"
15	"fenix"	"8358 sunset blvd. west"	"hollywood"	"213/848-6677"	"american"
16	"fenix at the argyle"	"8358 sunset blvd."	"w. hollywood"	"213-848-6677"	"french (new)"
17	"granita"	"23725 w. malibu rd."	"malibu"	"310/456-0488"	"californian"
18	"granita"	"23725 w. malibu rd."	"malibu"	"310-456-0488"	"californian"
19	"grill on the alley"	"9560 dayton way"	"los angeles"	"310/276-0615"	"american"
20	"grill  the"	"9560 dayton way"	"beverly hills"	"310-276-0615"	"american (traditional)"
21	"restaurant katsu"	"1972 n. hillhurst ave."	"los angeles"	"213/665-1891"	"asian"
22	"katsu"	"1972 hillhurst ave."	"los feliz"	"213-665-1891"	"japanese"
23	"l'orangerie"	"903 n. la cienega blvd."	"los angeles"	"310/652-9770"	"french"
24	"l'orangerie"	"903 n. la cienega blvd."	"w. hollywood"	"310-652-9770"	"french (classic)"
25	"le chardonnay"	"8284 melrose ave."	"los angeles"	"213/655-8880"	"french"
26	"le chardonnay (los angeles)"	"8284 melrose ave."	"los angeles"	"213-655-8880"	"french bistro"
27	"locanda veneta"	"3rd st."	"los angeles"	"310/274-1893"	"italian"
28	"locanda veneta"	"8638 w. third st."	"los angeles"	"310-274-1893"	"italian"
29	"matsuhisa"	"129 n. la cienega blvd."	"beverly hills"	"310/659-9639"	"asian"
30	"matsuhisa"	"129 n. la cienega blvd."	"beverly hills"	"310-659-9639"	"seafood"
799	"chops"	"70 w. paces ferry rd."	"atlanta"	"404-262-2675"	"steakhouses"
800	"chopstix"	"4279 roswell rd."	"atlanta"	"404-255-4868"	"chinese"
801	"deacon burton's soulfood restaurant"	"1029 edgewood ave. se"	"atlanta"	"404-523-1929"	"southern/soul"
802	"eats"	"600 ponce de leon ave."	"atlanta"	"404-888-9149"	"italian"
803	"flying biscuit  the"	"1655 mclendon ave."	"atlanta"	"404-687-8888"	"eclectic"
804	"frijoleros"	"1031 peachtree st. ne"	"atlanta"	"404-892-8226"	"tex-mex"
805	"greenwood's"	"1087 green st."	"roswell"	"770-992-5383"	"southern/soul"
806	"harold's barbecue"	"171 mcdonough blvd."	"atlanta"	"404-627-9268"	"bbq"
807	"havana sandwich shop"	"2905 buford hwy."	"atlanta"	"404-636-4094"	"cuban"
808	"house of chan"	"2469 cobb pkwy."	"smyrna"	"770-955-9444"	"chinese"
809	"indian delights"	"3675 satellite blvd."	"duluth"	"100-813-8212"	"indian"
810	"java jive"	"790 ponce de leon ave."	"atlanta"	"404-876-6161"	"coffee shops"
811	"johnny rockets (at)"	"2970 cobb pkwy."	"atlanta"	"770-955-6068"	"american"
812	"kalo's coffee house"	"1248 clairmont rd."	"decatur"	"404-325-3733"	"coffeehouses"
813	"la fonda latina"	"4427 roswell rd."	"atlanta"	"404-303-8201"	"spanish"
814	"lettuce souprise you (at)"	"3525 mall blvd."	"duluth"	"770-418-9969"	"cafeterias"
815	"majestic"	"1031 ponce de leon ave."	"atlanta"	"404-875-0276"	"diners"
816	"morton's of chicago (atlanta)"	"303 peachtree st. ne"	"atlanta"	"404-577-4366"	"steakhouses"
817	"my thai"	"1248 clairmont rd."	"atlanta"	"404-636-4280"	"thai"
818	"nava"	"3060 peachtree rd."	"atlanta"	"404-240-1984"	"southwestern"
819	"nuevo laredo cantina"	"1495 chattahoochee ave. nw"	"atlanta"	"404-352-9009"	"mexican"
820	"original pancake house (at)"	"4330 peachtree rd."	"atlanta"	"404-237-4116"	"american"
821	"palm  the (atlanta)"	"3391 peachtree rd. ne"	"atlanta"	"404-814-1955"	"steakhouses"
822	"rainbow restaurant"	"2118 n. decatur rd."	"decatur"	"404-633-3538"	"vegetarian"
823	"ritz-carlton cafe (atlanta)"	"181 peachtree st."	"atlanta"	"404-659-0400"	"american (new)"
824	"riviera"	"519 e. paces ferry rd."	"atlanta"	"404-262-7112"	"mediterranean"
825	"silver skillet  the"	"200 14th st. nw"	"atlanta"	"404-874-1388"	"coffee shops"
826	"soto"	"3330 piedmont rd."	"atlanta"	"404-233-2005"	"japanese"
827	"thelma's kitchen"	"764 marietta st. nw"	"atlanta"	"404-688-5855"	"cafeterias"
828	"tortillas"	"774 ponce de leon ave. ne"	"atlanta"	"404-892-0193"	"tex-mex"
829	"van gogh's restaurant & bar"	"70 w. crossville rd."	"roswell"	"770-993-1156"	"american (new)"
830	"veggieland"	"220 sandy springs circle"	"atlanta"	"404-231-3111"	"vegetarian"
831	"white house restaurant"	"3172 peachtree rd. ne"	"atlanta"	"404-237-7601"	"diners"
832	"zab-e-lee"	"4837 old national hwy."	"college park"	"404-768-2705"	"thai"
833	"bill's place"	"2315 clement st."	"san francisco"	"415-221-5262"	"hamburgers"
834	"cafe flore"	"2298 market st."	"san francisco"	"415-621-8579"	"californian"
835	"caffe greco"	"423 columbus ave."	"san francisco"	"415-397-6261"	"continental"
836	"campo santo"	"240 columbus ave."	"san francisco"	"415-433-9623"	"mexican"
837	"cha cha cha's"	"1805 haight st."	"san francisco"	"415-386-5758"	"caribbean"
838	"doidge's"	"2217 union st."	"san francisco"	"415-921-2149"	"american"
839	"dottie's true blue cafe"	"522 jones st."	"san francisco"	"415-885-2767"	"diners"
840	"dusit thai"	"3221 mission st."	"san francisco"	"415-826-4639"	"thai"
841	"ebisu"	"1283 ninth ave."	"san francisco"	"415-566-1770"	"japanese"
842	"emerald garden restaurant"	"1550 california st."	"san francisco"	"415-673-1155"	"vietnamese"
843	"eric's chinese restaurant"	"1500 church st."	"san francisco"	"415-282-0919"	"chinese"
844	"hamburger mary's"	"1582 folsom st."	"san francisco"	"415-626-1985"	"hamburgers"
845	"kelly's on trinity"	"333 bush st."	"san francisco"	"415-362-4454"	"californian"
846	"la cumbre"	"515 valencia st."	"san francisco"	"415-863-8205"	"mexican"
847	"la mediterranee"	"288 noe st."	"san francisco"	"415-431-7210"	"mediterranean"
848	"la taqueria"	"2889 mission st."	"san francisco"	"415-285-7117"	"mexican"
849	"mario's bohemian cigar store cafe"	"2209 polk st."	"san francisco"	"415-776-8226"	"italian"
850	"marnee thai"	"2225 irving st."	"san francisco"	"415-665-9500"	"thai"
